Occasion,date
Global Family Day  ,1/1/2023  
World Braille Day  ,4/1/2023  
International Thank-You Day  ,11/1/2023  
World Leprosy Day  ,30/1/2023  
Darwin Day  ,12/2/2023  
International Mother Language Day  ,21/2/2023  
World Thinking Day  ,22/2/2023  
International Women's Day  ,8/3/2023  
World Down Syndrome Day  ,21/3/2023  
World Water Day  ,22/3/2023  
World Meteorological Day  ,23/3/2023  
World TB Day  ,24/3/2023  
Earth Hour  ,26/3/2023  
International Children's Book Day  ,2/4/2023  
World Health Day  ,7/4/2023  
Yuri's Night  ,12/4/2023  
International Special Librarians Day  ,16/4/2023  
International Creativity and Innovation Day  ,21/4/2023  
Earth Day  ,22/4/2023  
World Book Day  ,23/4/2023  
World Malaria Day  ,25/4/2023  
World Press Freedom Day  ,3/5/2023  
International Midwives Day  ,5/5/2023  
World Red Cross Day  ,8/5/2023  
World Lupus Day  ,10/5/2023  
International Nurses Day  ,12/5/2023  
IEEE Global Engineering Day  ,13/5/2023  
International Day of Families  ,15/5/2023  
World Hypertension Day  ,17/5/2023  
International Museum Day  ,18/5/2023  
World Day for Cultural Diversity  ,21/5/2023  
International Day for Biological Diversity  ,22/5/2023  
World Schizophrenia Day  ,24/5/2023  
World No-Tobacco Day  ,31/5/2023  
World Milk Day  ,1/6/2023  
World Bicycle Day  ,3/6/2023  
World Environment Day  ,5/6/2023  
World Ocean Day  ,8/6/2023  
World Blood Donor Day  ,14/6/2023  
International Day of the African Child  ,16/6/2023  
World Day to Combat Desertification & Drought  ,17/6/2023  
World Refugee Day  ,20/6/2023  
International Yoga Day  ,21/6/2023  
International Day Against Drug Abuse and Trafficking  ,26/6/2023  
World Population Day  ,11/7/2023  
World Hepatitis Day  ,28/7/2023  
International Friendship Day  ,7/8/2023  
Universal & International Infinity Day  ,8/8/2023  
International Day of the World's Indigenous People  ,9/8/2023  
International Biodiesel Day  ,10/8/2023  
International Youth Day  ,12/8/2023  
International Lefthanders Day  ,13/8/2023  
International Day for the Remembrance of the Slave Trade & its Abolition  ,23/8/2023  
International Literacy Day  ,8/9/2023  
Software Freedom Day  ,15/9/2023  
International Day of Democracy  ,15/9/2023  
International Day for the Preservation of the Ozone Layer  ,16/9/2023  
World Gratitude Day  ,21/9/2023  
World Car-Free Day  ,22/9/2023  
Inventors Day  ,29/9/2023  
World Heart Day  ,29/9/2023  
International Music Day  ,1/10/2023  
World Ballet Day  ,1/10/2023  
World Farm Animals Day  ,2/10/2023  
World Temperance Day  ,3/10/2023  
World Animal Day  ,4/10/2023  
World Teacher's Day  ,5/10/2023  
World Mental Health Day  ,10/10/2023  
World Food Day  ,16/10/2023  
International Day for the Eradication of Poverty  ,17/10/2023  
United Nations Day  ,24/10/2023  
International Internet Day  ,29/10/2023  
World Town Planning Day  ,8/11/2023  
World Diabetes Day  ,14/11/2023  
International Day for Tolerance  ,16/11/2023  
International Day for the Elimination of Violence Against Women  ,25/11/2023  
International Computer Security Day  ,30/11/2023  
World Aids Day  ,1/12/2023  
International Day for the Abolition of Slavery  ,2/12/2023  
International Volunteers Day  ,5/12/2023  
International Civil Aviation Day  ,7/12/2023  
Human Rights Day  ,10/12/2023  
